Date,Close,High,Low,Open,Volume
2010-12-15,5892.299805,5942.75,5865.799805,5931.149902,126323113
2010-12-16,5948.75,5956.149902,5855.049805,5910.549805,149826681
2010-12-20,5947.049805,5985,5900.25,5926.850098,121821490
2010-12-21,6000.649902,6007.450195,5960.049805,5960.399902,126542972
2010-12-22,5984.399902,6023.799805,5958,6019,118823292
2010-12-23,5980,6006.450195,5964.600098,6005.899902,85460029
2010-12-24,6011.600098,6017.350098,5940.25,5940.25,123574629
2010-12-27,5998.100098,6045.75,5991.100098,6013.299805,95958318
2010-12-28,5996,6010.899902,5982.25,6005.350098,90722187
2010-12-29,6060.350098,6067.549805,6002.850098,6005.149902,92994810
2010-12-30,6101.850098,6106.399902,6062.350098,6062.350098,194348266
2010-12-31,6134.5,6147.299805,6103.549805,6105.100098,113754901
2011-01-03,6157.600098,6178.549805,6147.200195,6177.450195,96028639
2011-01-04,6146.350098,6181.049805,6124.399902,6172.75,181727905
2011-01-05,6079.799805,6141.350098,6062.350098,6141.350098,139614193
2011-01-06,6048.25,6116.149902,6022.299805,6107,152338978
2011-01-07,5904.600098,6051.200195,5883.600098,6030.899902,171809106
2011-01-10,5762.850098,5907.25,5740.950195,5901.299805,156945855
2011-01-11,5754.100098,5842.600098,5698.200195,5767.950195,161261704
2011-01-12,5863.25,5874.200195,5711.299805,5800.049805,188116995
2011-01-13,5751.899902,5857.75,5736.700195,5850.75,175347539
2011-01-14,5654.549805,5833.649902,5639.649902,5752.100098,174568442
2011-01-17,5654.75,5696.149902,5624.149902,5648.799805,148497108
2011-01-18,5724.049805,5730.5,5671.25,5682.549805,141008889
2011-01-19,5691.049805,5747.649902,5662.549805,5737.350098,146719934
2011-01-20,5711.600098,5729.450195,5634.5,5656,130496983
2011-01-21,5696.5,5717.549805,5674.5,5692.049805,119990780
2011-01-24,5743.25,5756,5697.75,5717.100098,108832157
2011-01-25,5687.399902,5801.549805,5680.649902,5763.299805,126128667
2011-01-27,5604.299805,5726.100098,5594.950195,5725.299805,201496674
